Gender,Height (m),Body Mass (kg),Release Velocity ( m/s),Release Height (m),Reach Over SB (m),FB TL at Release (°),LR TL at Release (°),Shot Path Length (m),Power Position Distance (m),distance (m)
F,1.74,110,13.24,2.08,0.09,8,-21,2.26,1.27,19.94
F,1.71,84,13.31,1.91,-0.02,-2,4,2.62,0.61,19.49
F,1.66,89,13.34,1.89,0,-2,-10,2.53,0.8,18.91
F,1.78,110,12.64,2,-0.14,-6,-4,1.99,0.98,18.25
F,1.78,111,12.63,1.98,0.13,-7,9,2.89,0.78,18.21
F,1.85,80,12.44,2.11,0.08,3,-8,2.43,1.24,18.12
F,1.8,71,12.59,2.09,0.01,13,-24,2.26,0.98,18.03
F,1.8,92,12.37,2.08,0.17,6,-13,2.38,0.94,18.03
F,1.66,108,12.5,1.97,-0.03,-5,1,2.32,0.59,17.86
F,1.77,66,12.48,2.05,0.1,5,-17,2.32,1.09,17.73
F,1.82,115,12.35,2.05,-0.06,11,-17,1.97,0.86,17.6
F,1.8,90,12.85,2.11,0.15,2,-20,2.36,1.16,18.54
F,1.8,76,12.63,1.98,0.23,4,-11,2.42,1.1,18.21
F,1.72,91,12.74,1.95,0.15,16,-16,2.41,1.32,17.8
F,1.83,,12.43,2.09,-0.01,-7,-8,2.73,0.79,17.26
F,1.73,,12.58,1.91,0.27,-12,6,2.66,0.79,17.23
F,1.74,83,12.31,1.94,0.04,-5,-6,2.66,0.76,17.22
F,1.78,86,12.63,1.88,0.2,5,-12,2.41,0.93,16.33
M,1.86,123,14.15,2.12,0.23,-11,-8,2.77,0.89,22.03
M,1.81,132,13.84,2.22,0.19,-3,6,2.85,0.65,21.66
M,1.9,127,13.88,2.11,0.13,-11,12,2.96,0.6,21.41
M,1.94,136,13.65,2.15,0.04,-7,3,2.67,0.77,21.41
M,2.01,127,13.72,2.1,0.14,-8,5,3.04,0.73,21.2
M,1.91,129,14.02,2.11,0.28,-4,2,2.7,0.63,20.89
M,1.9,118,13.72,1.97,0.33,1,14,2.73,0.82,20.82
M,1.93,135,13.46,2.29,0.07,-1,6,2.89,0.7,20.79
M,1.95,118,13.24,2.08,0.29,-4,0,2.69,0.45,19.96
M,1.88,127,13.54,2.34,0.24,-4,-8,2.95,0.87,21.37
M,1.96,140,13.69,2.19,0.34,-3,3,2.98,0.77,21.15
M,2,129,13.51,2.4,0.19,-3,0,2.95,0.68,20.82
M,1.94,140,13.49,2.17,0.24,-5,1,2.93,0.95,20.69
M,1.78,136,13.27,2.12,0.27,7,-4,2.88,0.77,19.93
M,1.98,155,13.15,2.36,0.24,-5,2,3.15,0.67,19.93
M,1.84,115,13.24,2.11,0.23,-9,5,2.73,0.8,19.84
M,1.81,107,13.24,2.08,-0.01,-11,-5,2.8,0.78,19.78
M,1.85,132,13.43,2,0.2,-7,7,2.87,0.64,19.34
M,1.9,140,13.31,2.16,0.23,-1,-1,3.11,0.85,19.11
